"Date","9.0 Pie","8.1 Oreo","6.0 Marshmallow","8.0 Oreo","7.0 Nougat","5.1 Lollipop","7.1 Nougat","10.0 10","4.4 KitKat","5.0 Lollipop","4.2 Jelly Bean","4.1 Jelly Bean","4.3 Jelly Bean","4.0 Ice Cream Sandwich","2.3 Gingerbread","Other"
2019-04,11.26,18.6,16,16.61,11.06,10.08,7.65,0,4.08,2.5,0.89,0.51,0.33,0.21,0.18,0.05
2019-05,14.77,18.97,15.4,14.98,10.67,9.65,7.52,0,3.81,2.34,0.77,0.41,0.3,0.21,0.15,0.04
2019-06,18.61,18.06,15.16,13.35,10.34,9.42,7.25,0.01,3.72,2.3,0.73,0.39,0.3,0.17,0.15,0.05
2019-07,22.56,16.87,15.02,11.49,10.09,9.2,7.3,0.01,3.59,2.33,0.63,0.34,0.28,0.13,0.13,0.03
2019-08,27.77,16.57,13.98,10.47,9.18,8.65,6.78,0.02,3.36,2.1,0.43,0.22,0.22,0.09,0.12,0.04
2019-09,32.69,16.09,13.42,9.6,8.58,7.83,6.19,0.19,2.74,1.83,0.32,0.15,0.17,0.07,0.1,0.03
2019-10,35.25,14.58,13.32,9.98,8.06,6.84,5.53,0.55,2.36,2.78,0.28,0.13,0.16,0.07,0.08,0.04
2019-11,39.22,14.35,12.07,8.69,7.9,6.68,5.46,0.96,2.35,1.6,0.27,0.12,0.17,0.06,0.06,0.04
2019-12,41.9,13.53,11.18,8.47,7.37,6.04,5.12,2.1,2.16,1.46,0.26,0.12,0.15,0.05,0.05,0.04
2020-01,41.86,12.6,10.6,8.17,7.04,5.7,4.8,4.95,2.16,1.41,0.26,0.12,0.15,0.06,0.06,0.05
2020-02,41.22,12.15,10,7.94,6.67,5.39,4.58,7.84,2.08,1.35,0.31,0.16,0.16,0.07,0.05,0.04
2020-03,38.57,11.82,9.37,7.62,6.43,5.2,4.4,12.45,2.03,1.27,0.34,0.19,0.16,0.09,0.05,0.02
2020-04,37.4,11.29,8.72,7.37,6.24,4.84,4.3,16.12,1.87,1.21,0.27,0.15,0.13,0.06,0,0.02
