"Date","iOS 13.3","iOS 12.4","iOS 12.3","iOS 12.2","iOS 13.1","iOS 12.1","iOS 13.2","iOS 11.4","iOS 10.3","iOS 9.3","iOS 11.2","iOS 13.4","iOS 12.0","iOS 11.0","iOS 11.3","iOS 13.0","iOS 6.0","iOS 10.2","iOS 11.1","iOS 7.1","iOS 10.1","iOS 10.0","iOS 9.1","iOS 7.0","iOS 5.1","iOS 6.1","iOS 9.2","iOS 8.4","iOS 8.1","iOS 8.3","iOS 9.0","iOS 8.0","iOS 5.0","iOS 4.3","iOS 8.2","iOS 3.2","Other"
2019-04,0,0,0.22,43.2,0,34.54,0,5.12,3.42,2.63,1.84,0,2.51,1,1.51,0,0.06,0.69,0.59,0.35,0.26,0.25,0.17,0.21,0.16,0.09,0.16,0.16,0.17,0.09,0.07,0.34,0.06,0.04,0.03,0.03,0.02
2019-05,0,0.06,3.8,62.27,0,14.03,0,4.36,3.2,2.51,1.73,0,2.02,0.94,1.45,0,0.24,0.64,0.53,0.28,0.25,0.23,0.17,0.17,0.15,0.13,0.14,0.16,0.15,0.08,0.07,0.05,0.06,0.03,0.03,0.02,0.03
2019-06,0,0.22,52.18,20.03,0,9.29,0,3.8,3.03,2.41,1.64,0,1.59,0.8,1.15,0.1,0.58,0.58,0.5,0.27,0.24,0.21,0.15,0.15,0.14,0.16,0.13,0.14,0.14,0.08,0.07,0.03,0.06,0.03,0.03,0.03,0.04
2019-07,0,1.2,67.65,6.64,0,6.69,0,3.3,2.87,2.29,1.49,0,1.33,0.73,1.02,0.48,1.04,0.57,0.46,0.24,0.26,0.2,0.32,0.14,0.14,0.23,0.13,0.14,0.12,0.07,0.08,0.03,0.06,0.03,0.03,0.03,0.02
2019-08,0,35.39,37.96,4.55,0.03,5.54,0,2.95,2.76,2.24,1.34,0,1.19,0.67,0.94,0.62,0.81,0.52,0.41,0.24,0.23,0.19,0.23,0.16,0.14,0.19,0.14,0.13,0.12,0.07,0.06,0.03,0.04,0.03,0.03,0.03,0.01
2019-09,0,62.6,10.65,2.97,2.49,4.31,0,2.6,2.49,2.01,1.17,0,0.98,0.64,0.83,3.12,0.48,0.47,0.37,0.19,0.19,0.16,0.19,0.16,0.14,0.14,0.14,0.12,0.1,0.06,0.07,0.02,0.04,0.03,0.02,0.02,0.01
2019-10,0,30.1,5.22,1.87,41.28,3.07,0.76,2.09,2.45,1.98,1.09,0,0.75,3.92,0.72,2.14,0.14,0.43,0.35,0.18,0.17,0.15,0.16,0.16,0.13,0.08,0.13,0.11,0.1,0.06,0.06,0.02,0.04,0.02,0.02,0.01,0.01
2019-11,0.32,18.52,3.88,1.51,46.31,2.58,13.44,1.84,2.33,1.95,1.02,0,0.65,0.54,0.64,1.32,0.77,0.4,0.32,0.18,0.18,0.14,0.13,0.14,0.12,0.18,0.13,0.11,0.09,0.05,0.05,0.02,0.04,0.02,0.02,0.01,0.01
2019-12,24.69,15.85,3.23,1.28,28.62,2.21,12.61,1.58,2.07,1.81,0.84,0,0.58,0.48,0.56,1.04,0.47,0.34,0.27,0.16,0.15,0.12,0.1,0.13,0.14,0.13,0.12,0.1,0.09,0.05,0.05,0.02,0.03,0.03,0.02,0.01,0.01
2020-01,64.53,11.23,2.21,0.98,6.02,1.83,2.79,1.38,2.03,1.85,0.77,0,0.51,0.43,0.51,0.58,0.41,0.3,0.25,0.16,0.13,0.11,0.09,0.14,0.15,0.12,0.11,0.1,0.09,0.05,0.05,0.02,0.03,0.03,0.02,0.01,0.01
2020-02,70.78,9.63,1.75,0.83,3.73,1.6,1.9,1.22,1.9,1.68,0.72,0.21,0.47,0.39,0.46,0.46,0.38,0.29,0.23,0.14,0.13,0.11,0.12,0.14,0.13,0.11,0.13,0.08,0.08,0.05,0.04,0.02,0.04,0.03,0.02,0.01,0.01
2020-03,74.24,8.55,1.38,0.68,2.57,1.35,1.38,1.07,1.76,1.53,0.62,1.31,0.41,0.36,0.41,0.35,0.33,0.26,0.2,0.13,0.11,0.09,0.08,0.13,0.13,0.1,0.1,0.08,0.07,0.04,0.04,0.02,0.04,0.02,0.02,0.01,0.01
2020-04,66.25,8.66,1.32,0.74,2.21,1.33,1.23,1.03,1.64,1.49,0.56,10.42,0.42,0.32,0.39,0.31,0.18,0.21,0.19,0.12,0.09,0.08,0.09,0.12,0.08,0.07,0.1,0.07,0.07,0.04,0.04,0.02,0.04,0.02,0.02,0.01,0.01
